sha256,image_path,source_project,source_dataset,original_label,unified_label,conflicting_labels,resolution
030276a6c84059d3540b25c366c486aeadde0f01c4ee8a5d02aa77687629c978,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin diseases image dataset/IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/16_12.jpg,dermassist,Skin_Diseases_Image,Psoriasis,plaque_psoriasis,atopic_dermatitis|plaque_psoriasis,excluded_all_conflicting_labels
031da71a9dbe053e2e21ed02d79d6dd8c83ec7dae38ad52c2f5bf64fb8c877cc,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Dermnet/train/Nail Fungus and other Nail Disease/alopecia-areata-65.jpg,dermassist,DermNet,Nail Fungus,fungal_nail_infections,alopecia_areata|fungal_nail_infections,kept_protected_original_8:alopecia_areata
034ef75de4a58fe75d9388217bc635fd2dd34d0bc3678f597162c7a54165f094,/backup/Intern/Devraj/home_cache/kagglehub/datasets/pacificrm/skindiseasedataset/versions/6/SkinDisease/SkinDisease/train/Candidiasis/13CandidaAxillae020210.jpeg,devraj,pacific_train,Candidiasis,candidiasis,candidiasis|tinea_corporis,kept_protected_original_8:tinea_corporis
03c0499deb0b2d373fa1a979420d30444410d26a2cbd7dae406440fa591b56ba,/backup/Intern/Devraj/home_cache/kagglehub/datasets/pacificrm/skindiseasedataset/versions/6/SkinDisease/SkinDisease/test/Candidiasis/candidiasis-large-skin-folds-172.jpeg,devraj,pacific_test,Candidiasis,candidiasis,candidiasis|tinea_corporis,kept_protected_original_8:tinea_corporis
03db36a1f79a52f835bfb3037c50db94a7935f34c04fb40658ad730cb6c932ba,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Dermnet/train/Nail Fungus and other Nail Disease/alopecia-areata-42.jpg,dermassist,DermNet,Nail Fungus,fungal_nail_infections,alopecia_areata|fungal_nail_infections,kept_protected_original_8:alopecia_areata
03db36a1f79a52f835bfb3037c50db94a7935f34c04fb40658ad730cb6c932ba,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Dermnet/train/Nail Fungus and other Nail Disease/alopecia-areata-43.jpg,dermassist,DermNet,Nail Fungus,fungal_nail_infections,alopecia_areata|fungal_nail_infections,kept_protected_original_8:alopecia_areata
043650a42df6997715dca0fe493f530603c4434c642c0b992070de50131f121f,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Dermnet/test/Nail Fungus and other Nail Disease/alopecia-areata-89.jpg,dermassist,DermNet,Nail Fungus,fungal_nail_infections,alopecia_areata|fungal_nail_infections,kept_protected_original_8:alopecia_areata
04e0c4d33ddcec2ce9447f6730ac0ee4098f845daff2195a6ac0d6a0693ba9e6,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin diseases image dataset/IMG_CLASSES/10. Warts Molluscum and other Viral Infections - 2103/6_134.jpg,dermassist,Skin_Diseases_Image,Verruca,warts,plaque_psoriasis|warts,kept_protected_original_8:plaque_psoriasis
05038176a586691bd3dc0d3c7b84cfebfeb83e4f1ba7c34dd017e44de3b8ccab,/backup/Intern/Devraj/home_cache/kagglehub/datasets/pacificrm/skindiseasedataset/versions/6/SkinDisease/SkinDisease/train/Candidiasis/candidiasis-large-skin-folds-130.jpeg,devraj,pacific_train,Candidiasis,candidiasis,candidiasis|tinea_corporis,kept_protected_original_8:tinea_corporis
055085621e56ed52d1edc68e8cdc368498ead42261a9e166552f38d344d97c14,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Dermnet/train/Nail Fungus and other Nail Disease/alopecia-areata-83.jpg,dermassist,DermNet,Nail Fungus,fungal_nail_infections,alopecia_areata|fungal_nail_infections,kept_protected_original_8:alopecia_areata
057e2c7cee1277e4e7071450d3a345667fe4fd1368b9086ff14bb686a48b50b6,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Dermnet/train/Nail Fungus and other Nail Disease/lichen-planus-210.jpg,dermassist,DermNet,Nail Fungus,fungal_nail_infections,fungal_nail_infections|plaque_psoriasis,kept_protected_original_8:plaque_psoriasis
05c46c159e7d01111ced4be0d25520b17148c6c522ee5587f4706721206dbb45,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin diseases image dataset/IMG_CLASSES/10. Warts Molluscum and other Viral Infections - 2103/201_0_0.jpg,dermassist,Skin_Diseases_Image,Verruca,warts,atopic_dermatitis|warts,kept_protected_original_8:atopic_dermatitis
05e17da04e7929ad3500c963797d411da24b7fab4208ce66593c629daafb8d78,/backup/Intern/Devraj/home_cache/kagglehub/datasets/pacificrm/skindiseasedataset/versions/6/SkinDisease/SkinDisease/train/Candidiasis/candidiasis-large-skin-folds-183.jpeg,devraj,pacific_train,Candidiasis,candidiasis,candidiasis|tinea_corporis,kept_protected_original_8:tinea_corporis
06858dea3c61e33ebe269007d3adde669739042f3397dbfd5fec2936780b1045,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin diseases image dataset/IMG_CLASSES/3. Atopic Dermatitis - 1.25k/6_44.jpg,dermassist,Skin_Diseases_Image,Atopic Dermatitis,atopic_dermatitis,atopic_dermatitis|plaque_psoriasis,excluded_all_conflicting_labels
06858dea3c61e33ebe269007d3adde669739042f3397dbfd5fec2936780b1045,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin diseases image dataset/IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/13_10.jpg,dermassist,Skin_Diseases_Image,Psoriasis,plaque_psoriasis,atopic_dermatitis|plaque_psoriasis,excluded_all_conflicting_labels
0743fcf472a56258c4b5b016989950f335bbc23431d275a160510542cefb8fb3,/backup/Intern/Devraj/home_cache/kagglehub/datasets/pacificrm/skindiseasedataset/versions/6/SkinDisease/SkinDisease/train/Candidiasis/candidiasis-large-skin-folds-136.jpeg,devraj,pacific_train,Candidiasis,candidiasis,candidiasis|tinea_corporis,kept_protected_original_8:tinea_corporis
083013da9b4211dc4bb1e87067b9a9784ad76958ba437e8ec5cfed04778ff335,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Dermnet/train/Nail Fungus and other Nail Disease/lichen-planus-149.jpg,dermassist,DermNet,Nail Fungus,fungal_nail_infections,fungal_nail_infections|plaque_psoriasis,kept_protected_original_8:plaque_psoriasis
08a3c3212350e8c0fc26466bef622f594db846c100c4a1c70f8a70bbfa117063,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Dermnet/train/Nail Fungus and other Nail Disease/lichen-planus-156.jpg,dermassist,DermNet,Nail Fungus,fungal_nail_infections,fungal_nail_infections|plaque_psoriasis,kept_protected_original_8:plaque_psoriasis
08af06daebf21a6982977a7ac8ffb127e2d940ffdb9f636ead8c99a68d1b2cae,/backup/Intern/Devraj/home_cache/kagglehub/datasets/pacificrm/skindiseasedataset/versions/6/SkinDisease/SkinDisease/train/Candidiasis/1265-small__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,devraj,pacific_train,Candidiasis,candidiasis,candidiasis|tinea_corporis,kept_protected_original_8:tinea_corporis
0905f0bf200f42a62ca77526f85bc7cc85662867d3d56b1b929d921f37dab0c4,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Dermnet/train/Nail Fungus and other Nail Disease/alopecia-areata-74.jpg,dermassist,DermNet,Nail Fungus,fungal_nail_infections,alopecia_areata|fungal_nail_infections,kept_protected_original_8:alopecia_areata
092c4c84cefc14d729978a4a90bd0b801176bda62cf12eec90959fad66515a6e,/backup/Intern/Devraj/scalp-dataset/all/discoid-lupus/discoid-lupus-1.jpg,devraj,scalp_dataset,discoid-lupus,lupus_related_skin_lesions,alopecia_areata|lupus_related_skin_lesions,kept_protected_original_8:alopecia_areata
0a128588997c32c6fc9813bb7200bb4e492d2746bb14875348502f65861102a5,/backup/Intern/Devraj/home_cache/kagglehub/datasets/pacificrm/skindiseasedataset/versions/6/SkinDisease/SkinDisease/train/Candidiasis/candidiasis-mouth-6.jpeg,devraj,pacific_train,Candidiasis,candidiasis,candidiasis|tinea_corporis,kept_protected_original_8:tinea_corporis
0a924ec1b5202e4319ea78210e63bc73f8320db37c2d42732d55f0b3f66adb4d,/backup/Intern/Devraj/home_cache/kagglehub/datasets/pacificrm/skindiseasedataset/versions/6/SkinDisease/SkinDisease/train/Candidiasis/candidiasis-large-skin-folds-151.jpeg,devraj,pacific_train,Candidiasis,candidiasis,candidiasis|tinea_corporis,kept_protected_original_8:tinea_corporis
0a9ea3913e592526339c6b72e8a59dbdd9dc4adccf568857bdd9db0e5c2e25df,/backup/Intern/Devraj/home_cache/kagglehub/datasets/pacificrm/skindiseasedataset/versions/6/SkinDisease/SkinDisease/train/Candidiasis/candidiasis-large-skin-folds-96.jpeg,devraj,pacific_train,Candidiasis,candidiasis,candidiasis|tinea_corporis,kept_protected_original_8:tinea_corporis
0c2269fc5f483aeee509ade9b074cfb98e555a08ea5761af788b10ba2efc845f,/backup/Intern/Devraj/home_cache/kagglehub/datasets/pacificrm/skindiseasedataset/versions/6/SkinDisease/SkinDisease/train/Candidiasis/candidiasis-diaper-14.jpeg,devraj,pacific_train,Candidiasis,candidiasis,candidiasis|tinea_corporis,kept_protected_original_8:tinea_corporis
0c2629e0e4997dac7aa48a0719b7137618cae62738a1a1b30db6645c8b8e1fbd,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Dermnet/train/Nail Fungus and other Nail Disease/lichen-planus-82.jpg,dermassist,DermNet,Nail Fungus,fungal_nail_infections,fungal_nail_infections|plaque_psoriasis,kept_protected_original_8:plaque_psoriasis
0c70ca75273ba5b3a110753c037836f8d9e89a81f32c59c9061a6c84be6b365c,/backup/Intern/Devraj/home_cache/kagglehub/datasets/pacificrm/skindiseasedataset/versions/6/SkinDisease/SkinDisease/train/Candidiasis/13CandidaBreast.jpeg,devraj,pacific_train,Candidiasis,candidiasis,candidiasis|tinea_corporis,kept_protected_original_8:tinea_corporis
0c981a5658fd0ddfb8b8ecde2e360dc327e2dfd8e9515d231a50b3f02c98bf99,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Dermnet/train/Nail Fungus and other Nail Disease/lichen-planus-84.jpg,dermassist,DermNet,Nail Fungus,fungal_nail_infections,fungal_nail_infections|plaque_psoriasis,kept_protected_original_8:plaque_psoriasis
0ce7e7eaf1f7f8bc15aac6eb802c34d1d47ba00a25a0e7d6dc3be9976a5199e0,/backup/Intern/Devraj/home_cache/kagglehub/datasets/pacificrm/skindiseasedataset/versions/6/SkinDisease/SkinDisease/train/Eczema/eczema-nummular-142.jpeg,devraj,selected_900plus_final,atopic_dermatitis,atopic_dermatitis,atopic_dermatitis|plaque_psoriasis,excluded_all_conflicting_labels
0ce7e7eaf1f7f8bc15aac6eb802c34d1d47ba00a25a0e7d6dc3be9976a5199e0,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Lichen-Planus-Hypertrophic-2.jpg,dermassist,DermNet,Psoriasis,plaque_psoriasis,atopic_dermatitis|plaque_psoriasis,excluded_all_conflicting_labels
0ce7e7eaf1f7f8bc15aac6eb802c34d1d47ba00a25a0e7d6dc3be9976a5199e0,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin diseases image dataset/IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/t-Lichen-Planus-Hypertrophic-2.jpg,dermassist,Skin_Diseases_Image,Psoriasis,plaque_psoriasis,atopic_dermatitis|plaque_psoriasis,excluded_all_conflicting_labels
0d2d6a96cef2e576556a76c41aeb63ab5eb09eb5b9c3e56129a38db539113a18,/backup/Intern/Devraj/home_cache/kagglehub/datasets/pacificrm/skindiseasedataset/versions/6/SkinDisease/SkinDisease/train/Candidiasis/candidiasis-diaper-9.jpeg,devraj,pacific_train,Candidiasis,candidiasis,candidiasis|tinea_corporis,kept_protected_original_8:tinea_corporis
0d78605c7ab0405a833eae849b745924dc7eabd22052ec9d6e54a84baf3c38db,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Dermnet/train/Nail Fungus and other Nail Disease/alopecia-areata-80.jpg,dermassist,DermNet,Nail Fungus,fungal_nail_infections,alopecia_areata|fungal_nail_infections,kept_protected_original_8:alopecia_areata
0db5aaefdab6d26b3039f34935c01f306bb90db853b5be272cfa187e03656f14,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Dermnet/train/Acne and Rosacea Photos/milia-8.jpg,dermassist,DermNet,Acne,acne_vulgaris,acne_vulgaris|vitiligo,excluded_all_conflicting_labels
0db5aaefdab6d26b3039f34935c01f306bb90db853b5be272cfa187e03656f14,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Dermnet/train/Light Diseases and Disorders of Pigmentation/milia-8.jpg,dermassist,DermNet,Vitiligo,vitiligo,acne_vulgaris|vitiligo,excluded_all_conflicting_labels
0db5aaefdab6d26b3039f34935c01f306bb90db853b5be272cfa187e03656f14,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/train/3. Akne/milia-8.jpg,dermassist,Skin_Diseases_Kaggle,Acne,acne_vulgaris,acne_vulgaris|vitiligo,excluded_all_conflicting_labels
0db5aaefdab6d26b3039f34935c01f306bb90db853b5be272cfa187e03656f14,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/train/4. Pigment/milia-8.jpg,dermassist,Skin_Diseases_Kaggle,Vitiligo,vitiligo,acne_vulgaris|vitiligo,excluded_all_conflicting_labels
0edc0f3c2580b446b6b5d3c3fd812cb9fbefd965b10390f9e1a28df4d1a88194,/backup/Intern/Devraj/home_cache/kagglehub/datasets/pacificrm/skindiseasedataset/versions/6/SkinDisease/SkinDisease/train/Candidiasis/candidiasis-large-skin-folds-167.jpeg,devraj,pacific_train,Candidiasis,candidiasis,candidiasis|tinea_corporis,kept_protected_original_8:tinea_corporis
0fd53396e9628041412f5d4ce7c26f51e5b33ec0cc727e462dd20d59e7b072f9,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Dermnet/train/Nail Fungus and other Nail Disease/periungual-fibroma-4.jpg,dermassist,DermNet,Nail Fungus,fungal_nail_infections,drug_eruptions|fungal_nail_infections,excluded_all_conflicting_labels
0fd53396e9628041412f5d4ce7c26f51e5b33ec0cc727e462dd20d59e7b072f9,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Dermnet/train/Systemic Disease/tuberous-sclerosis-154.jpg,dermassist,DermNet,Drug Eruption,drug_eruptions,drug_eruptions|fungal_nail_infections,excluded_all_conflicting_labels
0fd53396e9628041412f5d4ce7c26f51e5b33ec0cc727e462dd20d59e7b072f9,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Dermnet/train/Systemic Disease/tuberous-sclerosis-77.jpg,dermassist,DermNet,Drug Eruption,drug_eruptions,drug_eruptions|fungal_nail_infections,excluded_all_conflicting_labels
102c61017bbfd0c7c84025bdd3559b53257456c6e5d7345bc7b3e68c2627ac88,/backup/Intern/Devraj/home_cache/kagglehub/datasets/pacificrm/skindiseasedataset/versions/6/SkinDisease/SkinDisease/test/Candidiasis/candidiasis-large-skin-folds-128.jpeg,devraj,pacific_test,Candidiasis,candidiasis,candidiasis|tinea_corporis,kept_protected_original_8:tinea_corporis
10aaf9cd707cb6c3ffd7ecf61c61df9bc19b36c91406e7e782ae5e5f4a01f7ec,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin diseases image dataset/IMG_CLASSES/10. Warts Molluscum and other Viral Infections - 2103/6_298.jpg,dermassist,Skin_Diseases_Image,Verruca,warts,plaque_psoriasis|warts,kept_protected_original_8:plaque_psoriasis
10e1482d1e12ec93f911bb25d570d1f55693d18c38ec3be543a7524e6ebdab7a,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Dermnet/train/Acne and Rosacea Photos/milia-19.jpg,dermassist,DermNet,Acne,acne_vulgaris,acne_vulgaris|vitiligo,excluded_all_conflicting_labels
10e1482d1e12ec93f911bb25d570d1f55693d18c38ec3be543a7524e6ebdab7a,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Dermnet/train/Light Diseases and Disorders of Pigmentation/milia-19.jpg,dermassist,DermNet,Vitiligo,vitiligo,acne_vulgaris|vitiligo,excluded_all_conflicting_labels
10e1482d1e12ec93f911bb25d570d1f55693d18c38ec3be543a7524e6ebdab7a,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Dermnet/test/Acne and Rosacea Photos/milia-19.jpg,dermassist,DermNet,Acne,acne_vulgaris,acne_vulgaris|vitiligo,excluded_all_conflicting_labels
10e1482d1e12ec93f911bb25d570d1f55693d18c38ec3be543a7524e6ebdab7a,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/train/3. Akne/milia-19.jpg,dermassist,Skin_Diseases_Kaggle,Acne,acne_vulgaris,acne_vulgaris|vitiligo,excluded_all_conflicting_labels
10e1482d1e12ec93f911bb25d570d1f55693d18c38ec3be543a7524e6ebdab7a,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/train/4. Pigment/milia-19.jpg,dermassist,Skin_Diseases_Kaggle,Vitiligo,vitiligo,acne_vulgaris|vitiligo,excluded_all_conflicting_labels
1113698e0d81c3b9d27a8a96f312839403233757d87d19cbcf3d906b4c6853dc,/backup/Intern/Devraj/home_cache/kagglehub/datasets/pacificrm/skindiseasedataset/versions/6/SkinDisease/SkinDisease/train/Candidiasis/13Candida040702.jpeg,devraj,pacific_train,Candidiasis,candidiasis,candidiasis|tinea_corporis,kept_protected_original_8:tinea_corporis
11c310bba0f53ecd7bd9c32e708a6e2e6c097fb56a4607c5a765d5a6eb78dd12,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Dermnet/train/Nail Fungus and other Nail Disease/alopecia-areata-100.jpg,dermassist,DermNet,Nail Fungus,fungal_nail_infections,alopecia_areata|fungal_nail_infections,kept_protected_original_8:alopecia_areata
11f0c859fd6837103c0a82c44a884d71e1cc0684b91501fd1c2f3c2131377dc9,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Dermnet/train/Systemic Disease/rheumatoid-nodule-9.jpg,dermassist,DermNet,Drug Eruption,drug_eruptions,drug_eruptions|lupus_related_skin_lesions,excluded_all_conflicting_labels
11f0c859fd6837103c0a82c44a884d71e1cc0684b91501fd1c2f3c2131377dc9,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Dermnet/test/Lupus and other Connective Tissue diseases/rheumatoid-nodule-9.jpg,dermassist,DermNet,Lupus Cutaneous,lupus_related_skin_lesions,drug_eruptions|lupus_related_skin_lesions,excluded_all_conflicting_labels
122e7c9a34f186c06c60471fea31261a700fb7b1d9c5fae493cfadf6cb339585,/backup/Intern/Devraj/home_cache/kagglehub/datasets/pacificrm/skindiseasedataset/versions/6/SkinDisease/SkinDisease/train/Candidiasis/candida-penis-55.jpeg,devraj,pacific_train,Candidiasis,candidiasis,candidiasis|tinea_corporis,kept_protected_original_8:tinea_corporis
12649e8dabdc95bbf375c4a025094f8d7368d240c438533d5f8a0f09a7454ff1,/backup/Intern/Devraj/home_cache/kagglehub/datasets/pacificrm/skindiseasedataset/versions/6/SkinDisease/SkinDisease/train/Candidiasis/candidiasis-large-skin-folds-117.jpeg,devraj,pacific_train,Candidiasis,candidiasis,candidiasis|tinea_corporis,kept_protected_original_8:tinea_corporis
12787e28182b5cf4027d2b995b2ee4753c4a936f3f948869607e3f36f323308f,/backup/Intern/Devraj/home_cache/kagglehub/datasets/pacificrm/skindiseasedataset/versions/6/SkinDisease/SkinDisease/train/Candidiasis/candida-penis-1.jpeg,devraj,pacific_train,Candidiasis,candidiasis,candidiasis|tinea_corporis,kept_protected_original_8:tinea_corporis
12e3d3148b749b2dddc6e633d0bdf23428646131cc72d1b26180e5e51ada9902,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin diseases image dataset/IMG_CLASSES/3. Atopic Dermatitis - 1.25k/6_89.jpg,dermassist,Skin_Diseases_Image,Atopic Dermatitis,atopic_dermatitis,atopic_dermatitis|plaque_psoriasis,excluded_all_conflicting_labels
12e3d3148b749b2dddc6e633d0bdf23428646131cc72d1b26180e5e51ada9902,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin diseases image dataset/IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/16_21.jpg,dermassist,Skin_Diseases_Image,Psoriasis,plaque_psoriasis,atopic_dermatitis|plaque_psoriasis,excluded_all_conflicting_labels
1394feeaabd4794f340d02da422564c5dfbcab86606972fbaea694afda633672,/backup/Intern/Devraj/home_cache/kagglehub/datasets/pacificrm/skindiseasedataset/versions/6/SkinDisease/SkinDisease/train/Candidiasis/candidiasis-large-skin-folds-102.jpeg,devraj,pacific_train,Candidiasis,candidiasis,candidiasis|tinea_corporis,kept_protected_original_8:tinea_corporis
13c907efd6ad4571d60a6e5fe18b64b8b598ff78207c31e7c36131a7b11a111d,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Dermnet/train/Nail Fungus and other Nail Disease/lichen-planus-158.jpg,dermassist,DermNet,Nail Fungus,fungal_nail_infections,fungal_nail_infections|plaque_psoriasis,kept_protected_original_8:plaque_psoriasis
144ba6b9677c8f9b8a0a1cb53f4459721da2c6d99f77325c0dbd91f078e25397,/backup/Intern/Devraj/home_cache/kagglehub/datasets/pacificrm/skindiseasedataset/versions/6/SkinDisease/SkinDisease/train/DrugEruption/drug-lichenoid-eruption-13.jpeg,devraj,pacific_train,DrugEruption,drug_eruptions,drug_eruptions|plaque_psoriasis,kept_protected_original_8:plaque_psoriasis
144ba6b9677c8f9b8a0a1cb53f4459721da2c6d99f77325c0dbd91f078e25397,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Dermnet/train/Exanthems and Drug Eruptions/drug-lichenoid-eruption-13.jpg,dermassist,DermNet,Drug Eruption,drug_eruptions,drug_eruptions|plaque_psoriasis,kept_protected_original_8:plaque_psoriasis
148407e4bfcb356726a84dccddcce8ba74ffa215abee81e2737af9ce357d0a78,/backup/Intern/Devraj/home_cache/kagglehub/datasets/pacificrm/skindiseasedataset/versions/6/SkinDisease/SkinDisease/train/Candidiasis/candidiasis-large-skin-folds-10.jpeg,devraj,pacific_train,Candidiasis,candidiasis,candidiasis|tinea_corporis,kept_protected_original_8:tinea_corporis
154963604cb8db12c8df0b09320a977012aee5fb1d766a3572573b6923b472ff,/backup/Intern/Devraj/home_cache/kagglehub/datasets/pacificrm/skindiseasedataset/versions/6/SkinDisease/SkinDisease/train/Candidiasis/candidiasis-chronic-mucocutaneous-2.jpeg,devraj,pacific_train,Candidiasis,candidiasis,candidiasis|tinea_corporis,kept_protected_original_8:tinea_corporis
