class_name,image_path,resolved_path,width,height,mean_brightness,std_brightness,blur_score,issue_type,recommended_action,details
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__0b70b15ee9c23689.jpeg,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/train/3. Akne/pigmentation_0_8745.jpeg,480,252,190.1699,23.4625,43.0108,slightly_blurry,keep_review_optional,Soft image. Usually kept for skin-disease training unless visually useless.
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__0baa5bfff8ebd371.jpg,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/test/3. Akne/acne-face-75__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,294,222,134.0604,20.1812,45.2485,slightly_blurry,keep_review_optional,Soft image. Usually kept for skin-disease training unless visually useless.
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__0e63d2d49e35eedc.jpeg,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/train/3. Akne/pigmentation_0_993.jpeg,400,400,171.5630,28.5006,40.2794,slightly_blurry,keep_review_optional,Soft image. Usually kept for skin-disease training unless visually useless.
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__0ee423077ba60e14.jpg,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/train/3. Akne/acne-face-6-2__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,294,222,91.2988,39.7271,37.0942,slightly_blurry,keep_review_optional,Soft image. Usually kept for skin-disease training unless visually useless.
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__12452cfe221bf53a.jpeg,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/train/3. Akne/pigmentation_0_4547.jpeg,841,724,128.6777,46.6827,18.3654,slightly_blurry,keep_review_optional,Soft image. Usually kept for skin-disease training unless visually useless.
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__145717722a6008c9.jpeg,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/train/3. Akne/pigmentation_0_5525.jpeg,800,799,183.0224,42.6289,36.6476,slightly_blurry,keep_review_optional,Soft image. Usually kept for skin-disease training unless visually useless.
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__158bcce56ab3da51.jpg,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/train/3. Akne/acne-face-8-1__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDEwOF0.jpg,294,222,167.9894,16.1034,17.1498,slightly_blurry,keep_review_optional,Soft image. Usually kept for skin-disease training unless visually useless.
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__17257db831972066.jpg,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/train/3. Akne/40_19hJvhBaJyf8eJwT_.jpg,1280,1280,94.1558,57.1504,37.7118,slightly_blurry,keep_review_optional,Soft image. Usually kept for skin-disease training unless visually useless.
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__183a0f32565c78ee.png,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/train/3. Akne/22.png,852,480,118.4551,48.2837,40.7574,slightly_blurry,keep_review_optional,Soft image. Usually kept for skin-disease training unless visually useless.
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__1a622260c7752ad5.jpg,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/train/3. Akne/acne-face-5-7__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,294,222,146.5187,14.3330,22.5989,slightly_blurry,keep_review_optional,Soft image. Usually kept for skin-disease training unless visually useless.
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__1b36f8859315a3a1.jpeg,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/train/3. Akne/pigmentation_0_7239.jpeg,2121,1378,147.7559,60.1616,39.7143,slightly_blurry,keep_review_optional,Soft image. Usually kept for skin-disease training unless visually useless.
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__1be380be8c17a7ea.jpeg,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/train/3. Akne/pigmentation_0_2209.jpeg,400,400,156.2680,36.3202,49.7452,slightly_blurry,keep_review_optional,Soft image. Usually kept for skin-disease training unless visually useless.
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__1d33f26031b45e05.jpg,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/train/3. Akne/acne-face-4-10__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDIwXQ.jpg,294,222,91.6511,15.3946,21.3191,slightly_blurry,keep_review_optional,Soft image. Usually kept for skin-disease training unless visually useless.
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__1e18952dfb382bfa.jpeg,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/train/3. Akne/pigmentation_0_1687.jpeg,259,194,176.6505,33.2221,29.8560,slightly_blurry,keep_review_optional,Soft image. Usually kept for skin-disease training unless visually useless.
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__1f53f64b7d1772c6.jpeg,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/train/3. Akne/pigmentation_0_7261.jpeg,262,193,149.9287,28.6524,18.8542,slightly_blurry,keep_review_optional,Soft image. Usually kept for skin-disease training unless visually useless.
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__1fc0c40392ed3f58.jpg,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/val/3. Akne/IMG_3554.JPG.f4bf444684be38571736983531eaafdf.jpg,520,520,155.2309,33.8094,20.5647,slightly_blurry,keep_review_optional,Soft image. Usually kept for skin-disease training unless visually useless.
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__21374b8212f6a4b0.jpg,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/test/3. Akne/acne-face-72__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,294,222,108.1136,23.1648,43.5255,slightly_blurry,keep_review_optional,Soft image. Usually kept for skin-disease training unless visually useless.
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__21a0af947c7bbb23.jpeg,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/val/3. Akne/image.thumb.jpeg.ea2587f558684edf3c00f7558ebcad6e.jpeg,421,750,152.7898,44.9428,21.4934,slightly_blurry,keep_review_optional,Soft image. Usually kept for skin-disease training unless visually useless.
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__21cee947e062656b.jpeg,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/train/3. Akne/pigmentation_0_3906.jpeg,388,290,152.7684,50.9120,40.3207,slightly_blurry,keep_review_optional,Soft image. Usually kept for skin-disease training unless visually useless.
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__22f139a19f45e8b2.jpg,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/train/3. Akne/acne-face-1-41__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDMxXQ.jpg,294,222,110.3706,15.9996,29.9220,slightly_blurry,keep_review_optional,Soft image. Usually kept for skin-disease training unless visually useless.
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__256cab31bae3fe71.jpeg,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/train/3. Akne/pigmentation_0_2196.jpeg,150,150,160.7318,32.5974,28.4403,slightly_blurry,keep_review_optional,Soft image. Usually kept for skin-disease training unless visually useless.
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__28a834b3d4bf0bd1.jpeg,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/train/3. Akne/pigmentation_0_5398.jpeg,841,724,126.9753,48.6301,18.9958,slightly_blurry,keep_review_optional,Soft image. Usually kept for skin-disease training unless visually useless.
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__29a141e716b965fe.png,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/train/3. Akne/29.png,600,579,110.0424,50.7205,46.0360,slightly_blurry,keep_review_optional,Soft image. Usually kept for skin-disease training unless visually useless.
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__2b26f3dd30135550.jpg,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/train/3. Akne/acne-face-24__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,294,222,144.2697,37.3653,49.6059,slightly_blurry,keep_review_optional,Soft image. Usually kept for skin-disease training unless visually useless.
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__2c8f570029a52737.jpeg,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/val/3. Akne/pigmentation_0_5003.jpeg,1024,682,145.6587,54.0455,15.2796,slightly_blurry,keep_review_optional,Soft image. Usually kept for skin-disease training unless visually useless.
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__2f8306913145f350.jpeg,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/train/3. Akne/pigmentation_0_3931.jpeg,480,252,186.8624,23.3865,29.8529,slightly_blurry,keep_review_optional,Soft image. Usually kept for skin-disease training unless visually useless.
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__333d4cf3af19e1b8.jpeg,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/val/3. Akne/pigmentation_0_8107.jpeg,841,724,104.4835,57.6897,12.7478,slightly_blurry,keep_review_optional,Soft image. Usually kept for skin-disease training unless visually useless.
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__33ab4290f0f2f519.jpg,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/train/3. Akne/acne-face-3-21__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,294,222,112.0698,35.1282,45.2535,slightly_blurry,keep_review_optional,Soft image. Usually kept for skin-disease training unless visually useless.
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__370e7469b0b0a999.jpg,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/test/3. Akne/acne-face-4-11__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDg1XQ.jpg,294,222,88.4570,25.0134,13.3222,slightly_blurry,keep_review_optional,Soft image. Usually kept for skin-disease training unless visually useless.
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__376866530ea57ca1.jpg,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/test/3. Akne/acne-face-3-20__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,294,222,105.4310,34.8829,30.1937,slightly_blurry,keep_review_optional,Soft image. Usually kept for skin-disease training unless visually useless.
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__381e36c7cdae1a68.jpeg,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/train/3. Akne/pigmentation_0_6620.jpeg,262,193,142.3104,35.6628,29.6318,slightly_blurry,keep_review_optional,Soft image. Usually kept for skin-disease training unless visually useless.
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__3888a3dc26eddf97.jpeg,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/train/3. Akne/pigmentation_0_7691.jpeg,841,724,110.7980,57.6443,21.5520,slightly_blurry,keep_review_optional,Soft image. Usually kept for skin-disease training unless visually useless.
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__396aa1f742cb8cef.jpeg,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/train/3. Akne/pigmentation_0_2954.jpeg,259,194,180.5481,33.3154,41.2728,slightly_blurry,keep_review_optional,Soft image. Usually kept for skin-disease training unless visually useless.
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__3bd229c7547bf03c.jpeg,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/train/3. Akne/2 (8)1.jpeg,262,193,156.9988,26.1177,40.7833,slightly_blurry,keep_review_optional,Soft image. Usually kept for skin-disease training unless visually useless.
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__3bd3bae9f056d6a0.jpeg,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/val/3. Akne/pigmentation_0_5229.jpeg,841,724,115.7252,58.4832,19.0746,slightly_blurry,keep_review_optional,Soft image. Usually kept for skin-disease training unless visually useless.
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__3c8a93da9fc20341.jpeg,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/train/3. Akne/pigmentation_0_1025.jpeg,400,400,162.0111,33.4646,38.8785,slightly_blurry,keep_review_optional,Soft image. Usually kept for skin-disease training unless visually useless.
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__3dc058d948ba3500.jpeg,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/train/3. Akne/pigmentation_0_178.jpeg,474,330,181.4880,36.4558,47.1155,slightly_blurry,keep_review_optional,Soft image. Usually kept for skin-disease training unless visually useless.
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__3df1e33b1c871313.jpeg,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/train/3. Akne/pigmentation_0_7072.jpeg,841,724,114.7855,53.6775,16.6864,slightly_blurry,keep_review_optional,Soft image. Usually kept for skin-disease training unless visually useless.
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__3f46b6584af9aa08.jpg,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/train/3. Akne/acne-face-3-4__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,294,222,99.0886,47.3958,42.3937,slightly_blurry,keep_review_optional,Soft image. Usually kept for skin-disease training unless visually useless.
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__3f4765d9345acf17.jpeg,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/val/3. Akne/pigmentation_0_5544.jpeg,400,400,158.7239,34.7996,41.2693,slightly_blurry,keep_review_optional,Soft image. Usually kept for skin-disease training unless visually useless.
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__4156740ff1b71769.jpg,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/val/3. Akne/acne-breakout-GettyImages-11679106231 - Copy.jpg,1358,697,121.2652,61.4960,43.7125,slightly_blurry,keep_review_optional,Soft image. Usually kept for skin-disease training unless visually useless.
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__423efa444a3bf89a.png,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/test/3. Akne/tr0muse3x9yz.png,2560,1920,153.7850,46.2338,41.8700,slightly_blurry,keep_review_optional,Soft image. Usually kept for skin-disease training unless visually useless.
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__42aa5aaf2d556cd3.jpeg,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/train/3. Akne/pigmentation_0_8523.jpeg,259,194,163.9322,32.5909,27.4918,slightly_blurry,keep_review_optional,Soft image. Usually kept for skin-disease training unless visually useless.
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__42b4f75e73f6f46c.jpeg,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/train/3. Akne/pigmentation_0_4034.jpeg,150,150,175.6165,25.6963,23.4028,slightly_blurry,keep_review_optional,Soft image. Usually kept for skin-disease training unless visually useless.
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__470dfc5433e43e96.jpeg,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/train/3. Akne/pigmentation_0_1896.jpeg,150,150,178.4578,19.3246,20.2526,slightly_blurry,keep_review_optional,Soft image. Usually kept for skin-disease training unless visually useless.
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__497739ae40671f16.jpeg,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/train/3. Akne/pigmentation_0_3665.jpeg,150,150,172.3601,30.2136,17.9537,slightly_blurry,keep_review_optional,Soft image. Usually kept for skin-disease training unless visually useless.
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__497bc8fbcb5905d2.jpeg,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/train/3. Akne/pigmentation_0_571.jpeg,150,150,162.6510,33.7014,30.1295,slightly_blurry,keep_review_optional,Soft image. Usually kept for skin-disease training unless visually useless.
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__4a6257849c59f137.jpeg,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/train/3. Akne/pigmentation_0_3358.jpeg,259,194,168.2993,35.0583,35.6032,slightly_blurry,keep_review_optional,Soft image. Usually kept for skin-disease training unless visually useless.
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__4ab7d5372254cd0a.jpeg,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/train/3. Akne/pigmentation_0_1805.jpeg,550,410,132.7205,37.2938,48.8833,slightly_blurry,keep_review_optional,Soft image. Usually kept for skin-disease training unless visually useless.
